"","min.OR.overall","min.RR.overall","min.OR.perday","min.RR.perday","ve.susc","ve.infect","contact.increase"
"1",2.67342954518579e-05,6.72747626495607e-08,-2.83477610421023e-05,-2.67210667257434e-05,0,0,1
"2",-0.0941556366112248,-0.0141508344696888,-0.0150368366575966,-0.0150293916700954,0,0,1.02
"3",-0.197228749831728,-0.0288902024878712,-0.0301537425484404,-0.0301380293610569,0,0,1.04
"4",-0.310030233910516,-0.0438116800757526,-0.0453748261275568,-0.0453506500751533,0,0,1.06
"5",-0.433475356352168,-0.0588607048032832,-0.0606975458620806,-0.0606648545282862,0,0,1.08
"6",-0.568568366896131,-0.074040316690299,-0.0761193801712112,-0.076077986289689,0,0,1.1
"7",-0.716402616876978,-0.0893246036900965,-0.0916378227751193,-0.091587562245083,0,0,1.12
"8",-0.878181215317858,-0.104704749729011,-0.107250387073176,-0.107191118286744,0,0,1.14
"9",-1.05521934581521,-0.120190083037481,-0.122954894782445,-0.122886209683597,0,0,1.16
"10",-1.24894578730774,-0.135768472655604,-0.138751767006384,-0.138670412031017,0,0,1.18
"11",-1.46094001722359,-0.151414449820829,-0.154636462739337,-0.154541305745409,0,0,1.2
"12",-1.69291785029543,-0.16718795876358,-0.170606714082914,-0.17049654417907,0,0,1.22
"13",-1.94676505445383,-0.183019564705655,-0.186660229610938,-0.186533753248601,0,0,1.24
"14",-2.22454007840926,-0.198911423563603,-0.202794762008463,-0.202650598112651,0,0,1.26
"15",-2.5284924001929,-0.214933663696703,-0.219008090210525,-0.218844765272368,0,0,1.28
"16",-2.86109188252174,-0.231009388983987,-0.235298021549244,-0.235121974009517,0,0,1.3
"17",-3.22503412467095,-0.247134334148707,-0.251662346263657,-0.251474158721418,0,0,1.32
"18",-3.62327253510133,-0.263347160214479,-0.268099025432487,-0.267898665753842,0,0,1.34
"19",-4.05903488785994,-0.279658752748721,-0.284605948450575,-0.284393449824895,0,0,1.36
"20",-4.53585334416524,-0.296016325085573,-0.301180930221791,-0.300956428775405,0,0,1.38
"21",-5.05759932883149,-0.312415948454246,-0.317828209993419,-0.317585553522086,0,0,1.4
"22",-5.62850220701272,-0.328874133258121,-0.334545963248909,-0.334278806614872,0,0,1.42
"23",-6.25318841608087,-0.345457164202522,-0.351327608074288,-0.351034195571184,0,0,1.44
"24",-6.9367238474415,-0.362080375461006,-0.368171238408458,-0.367849711959835,0,0,1.46
"25",-7.68465976389303,-0.378740029079496,-0.38507509742966,-0.384723490202866,0,0,1.48
"26",-8.50304466436045,-0.395432574976779,-0.402037342463966,-0.401653575265206,0,0,1.5
"27",-9.39852394560928,-0.412184975816973,-0.419056191758625,-0.418652167124057,0,0,1.52
"28",-10.3783211290471,-0.429060654328616,-0.436129889150034,-0.435711575756601,0,0,1.54
"29",-11.4504600166171,-0.445968740502767,-0.453256712551211,-0.452824311163212,0,0,1.56
"30",-12.6235736596574,-0.462905980190071,-0.470434960373767,-0.469988673965565,0,0,1.58
