"","min.OR.overall","min.RR.overall","min.OR.perday","min.RR.perday","ve.susc","ve.infect"
"1",-8.50304466433905,-0.395432574976778,-0.402037342463965,-0.401653575265205,0,0
"2",-8.08603849487143,-0.393825430330135,-0.400367827794847,-0.400013089668802,0,0.02
"3",-7.68739818777787,-0.39209781112152,-0.39863110505526,-0.398303469381642,0,0.04
"4",-7.30632512124197,-0.390322155937807,-0.396859557032607,-0.396521547090625,0,0.06
"5",-6.94203979446375,-0.388531816894019,-0.395018715389247,-0.394663801292575,0,0.08
"6",-6.59380236675769,-0.386603597755276,-0.393099710874613,-0.392768818479428,0,0.1
"7",-6.26090977776493,-0.384655504533723,-0.391098511649113,-0.390795101203185,0,0.12
"8",-5.94268352250307,-0.382627686945286,-0.389047854744056,-0.388732793215936,0,0.14
"9",-5.63847609397637,-0.380465739198659,-0.386909672497338,-0.38658583590909,0,0.16
"10",-5.34767400303643,-0.378310277305561,-0.38467473927122,-0.384379831444222,0,0.18
"11",-5.06967008310663,-0.375978977256551,-0.382354892846788,-0.382069529173747,0,0.2
"12",-4.80390768414391,-0.373630461092275,-0.379951318458092,-0.379649287651381,0,0.22
"13",-4.54985245749446,-0.371118529467425,-0.377433048194353,-0.377155923501129,0,0.24
"14",-4.30698792350391,-0.368552641140945,-0.374806967300693,-0.37454327086399,0,0.26
"15",-4.07480444414934,-0.36581802938828,-0.37208002942107,-0.371799838854399,0,0.28
"16",-3.85283392614216,-0.363023871200987,-0.36921578331105,-0.368964554751539,0,0.3
"17",-3.64062985059393,-0.360035511928082,-0.366229767074138,-0.365980914160414,0,0.32
"18",-3.43774890135313,-0.356973082947639,-0.363105630487616,-0.362859022352257,0,0.34
"19",-3.24378275109005,-0.353732206234846,-0.359820383332263,-0.359596435851355,0,0.36
"20",-3.05834414056768,-0.350308129527021,-0.356394352232378,-0.356157968967156,0,0.38
"21",-2.88103303564101,-0.346770394568055,-0.352778541744443,-0.352570113711725,0,0.4
"22",-2.71148781325205,-0.343027060985277,-0.348996173432556,-0.348776451876911,0,0.42
"23",-2.54938539862326,-0.339075336130707,-0.344999663659598,-0.344806429802569,0,0.44
"24",-2.39436895245119,-0.334908865914063,-0.340804920088659,-0.340603646038973,0,0.46
"25",-2.24612993203169,-0.330524595898592,-0.336365187413396,-0.3361874184665,0,0.48
"26",-2.10435847712415,-0.325902585075782,-0.331689643158717,-0.331511354946612,0,0.5
"27",-1.96877712171803,-0.321008127365871,-0.326736130908223,-0.326567498480075,0,0.52
"28",-1.83908673058029,-0.315819319809277,-0.32148751188839,-0.321334177797079,0,0.54
"29",-1.71502961295342,-0.310332517790312,-0.315927900891979,-0.315776151198774,0,0.56
"30",-1.59634976479204,-0.304499227780521,-0.310016357052158,-0.309871179138192,0,0.58
"31",-1.48279632514722,-0.298279792708764,-0.303723708604641,-0.303593205461605,0,0.6
"32",-1.37414663346165,-0.291652487112109,-0.297016282508653,-0.296898089156679,0,0.62
"33",-1.27016460744387,-0.284581506983604,-0.289859215480343,-0.289747943174019,0,0.64
"34",-1.1706503644528,-0.277019784641175,-0.282202305741118,-0.282099103919161,0,0.66
"35",-1.07537411455475,-0.26891282149354,-0.273996260130811,-0.27390202126952,0,0.68
"36",-0.984171137223856,-0.260212147427064,-0.265185585282016,-0.265100916973072,0,0.7
"37",-0.896830854332345,-0.250853713693837,-0.255710246934115,-0.255632771830055,0,0.72
"38",-0.81317975016904,-0.240766309812856,-0.24549910159416,-0.245426949705946,0,0.74
"39",-0.73304494327616,-0.229879236955263,-0.234471845390104,-0.234410730503898,0,0.76
"40",-0.656268926433602,-0.218106560795511,-0.222543230302979,-0.222489914143991,0,0.78
"41",-0.582698239136241,-0.205354455535688,-0.209617048101897,-0.209572019726197,0,0.8
"42",-0.512189139508704,-0.191512225832284,-0.195586690939481,-0.195548083449942,0,0.82
"43",-0.444608408410714,-0.176472130213203,-0.180335828710726,-0.18030434457054,0,0.84
"44",-0.379831837934498,-0.160110263779629,-0.163741195030376,-0.163716386517847,0,0.86
"45",-0.317742948689934,-0.14230716144921,-0.145673017537997,-0.145653918408222,0,0.88
"46",-0.25822489778503,-0.122931325594827,-0.125999919012182,-0.125986228929845,0,0.9
"47",-0.201146747991807,-0.101865610517136,-0.104596129922022,-0.104586944907794,0,0.92
"48",-0.146355016242548,-0.0790122097025467,-0.0813522189453721,-0.0813462975932018,0,0.940000000000001
"49",-0.0937803385748512,-0.0543070461964119,-0.0561872386773725,-0.0561841029546883,0,0.960000000000001
"50",-0.0440677582187301,-0.0277671515904732,-0.0290679015214355,-0.0290666362453471,0,0.980000000000001
"51",5.87734932694373e-05,3.21073272480099e-05,-2.68902093105705e-05,-2.68899687771995e-05,0,1
"52",-0.782418814279723,-0.365975070204786,-0.372341331244332,-0.372014225339952,0.02,0
"53",-0.780193735773385,-0.364327404241115,-0.370677846397432,-0.37037534512851,0.02,0.02
"54",-0.774340108485978,-0.362598613393478,-0.368966280732037,-0.368668442846685,0.02,0.04
"55",-0.766589816297119,-0.360896466791442,-0.367206192025177,-0.366890370106518,0.02,0.06
"56",-0.762969992240118,-0.35906478193031,-0.365372501938935,-0.365065705041609,0.02,0.08
"57",-0.757203327724576,-0.357171292430691,-0.363461716304435,-0.363179993228592,0.02,0.1
"58",-0.749928232195651,-0.355251206973804,-0.361487856849736,-0.361211302332169,0.02,0.12
"59",-0.742370344240386,-0.353182922905938,-0.359450276447258,-0.359155531374686,0.02,0.14
"60",-0.736972009707109,-0.351117948211351,-0.357322151864754,-0.357046933609695,0.02,0.16
"61",-0.730624820557917,-0.348919421172181,-0.355098703793148,-0.354847944987275,0.02,0.18
"62",-0.723639615693993,-0.346648691365772,-0.352812014723834,-0.352546479126292,0.02,0.2
"63",-0.716225701398797,-0.344287629556661,-0.350421296899998,-0.350161158245791,0.02,0.22
"64",-0.708501888789516,-0.341813541377781,-0.347917604283116,-0.347682336022045,0.02,0.24
"65",-0.70048871632656,-0.339252117645004,-0.345327143552012,-0.345081996654143,0.02,0.26
"66",-0.692119596763166,-0.336567285296882,-0.342616898758514,-0.342379481568744,0.02,0.28
"67",-0.683252411217843,-0.333761154337308,-0.339773044275348,-0.339558655511351,0.02,0.3
"68",-0.673688233779315,-0.330847851177499,-0.336824410235081,-0.336592309009475,0.02,0.32
"69",-0.664697871936878,-0.327750435654666,-0.333722514995085,-0.333513805859996,0.02,0.34
"70",-0.655537806703359,-0.324573833114827,-0.330479403924786,-0.330272055762477,0.02,0.36
"71",-0.644898394563131,-0.3212111561491,-0.327079846375823,-0.326880112155914,0.02,0.38
"72",-0.634816763528484,-0.317660055299769,-0.323506006572054,-0.323317808022668,0.02,0.4
"73",-0.623450623980431,-0.313962601605008,-0.319759684939494,-0.319573222983777,0.02,0.42
"74",-0.612500146690181,-0.310072900480447,-0.315810293637867,-0.31563636151053,0.02,0.44
"75",-0.600443024886837,-0.305966778068706,-0.311658555821163,-0.311488976084554,0.02,0.46
"76",-0.587805706935787,-0.301633920545918,-0.307276623924491,-0.307112842617792,0.02,0.48
"77",-0.574782722909633,-0.297059873568198,-0.302649139256883,-0.302499124665253,0.02,0.5
"78",-0.561325253173879,-0.29222598547231,-0.297762132331559,-0.297610889139593,0.02,0.52
"79",-0.547154018407878,-0.287109349948811,-0.292580832388633,-0.292444594446947,0.02,0.54
"80",-0.531889286651284,-0.281682125440886,-0.287091466773034,-0.286964167665935,0.02,0.56
"81",-0.516547198261569,-0.275911589137169,-0.281264835765462,-0.281140703976371,0.02,0.58
"82",-0.500156275505398,-0.269790288665092,-0.275064839398874,-0.27494541996652,0.02,0.6
"83",-0.48293449199408,-0.263266155657684,-0.26845938760581,-0.268352016947465,0.02,0.62
"84",-0.464735843639752,-0.2563027443511,-0.261411358906386,-0.26131428736425,0.02,0.64
"85",-0.445895418636106,-0.248851178627873,-0.25387850147673,-0.25379013951232,0.02,0.66
"86",-0.425969958771793,-0.240889156892983,-0.245813356363785,-0.245732309221714,0.02,0.68
"87",-0.404981729100103,-0.232341539259007,-0.237162255379304,-0.237087299719467,0.02,0.7
"88",-0.38299763319168,-0.223163706300216,-0.227864853058012,-0.22779565758947,0.02,0.72
"89",-0.359952527916921,-0.213279016668299,-0.217854042799444,-0.217794475785941,0.02,0.74
"90",-0.335694086485757,-0.202620200758972,-0.207054573045029,-0.207004282445148,0.02,0.76
"91",-0.310222014827298,-0.191102503663787,-0.195388844335774,-0.195343152988192,0.02,0.78
"92",-0.283531783069178,-0.178641443499574,-0.182759780411842,-0.182723052666714,0.02,0.8
"93",-0.255586025242377,-0.165137396763353,-0.169072606070505,-0.169041318659064,0.02,0.82
"94",-0.226390933557871,-0.150483065676681,-0.154215730277429,-0.154190108624339,0.02,0.84
"95",-0.19598618175452,-0.134570960865572,-0.1380745805521,-0.138054501213411,0.02,0.86
