"","min.OR.overall","min.RR.overall","min.OR.perday","min.RR.perday","ve.susc","ve.infect"
"1",-8.50304536143561,-0.395982228145581,-0.402600774131998,-0.4017527952364,0,0
"2",-8.08602898483882,-0.394311029353692,-0.400894076685034,-0.400137576624959,0,0.02
"3",-7.68739681346873,-0.392458698590113,-0.399114890658065,-0.398440200425707,0,0.04
"4",-7.30632342164977,-0.390494181249802,-0.397341021602503,-0.396657912572293,0,0.06
"5",-6.94203970097818,-0.38891172403504,-0.395510638618567,-0.394787514948064,0,0.08
"6",-6.59380533450045,-0.387110952849488,-0.393594927484516,-0.392825356060522,0,0.1
"7",-6.26089188984351,-0.385091862907903,-0.391589904257281,-0.390815216375276,0,0.12
"8",-5.94269587665055,-0.382851805329721,-0.389491116526042,-0.388809969320738,0,0.14
"9",-5.63846849485488,-0.380831032616882,-0.387293643737179,-0.386694975391025,0,0.16
"10",-5.3476611771123,-0.378743082648236,-0.385063833084452,-0.38446605066806,0,0.18
"11",-5.06966055640651,-0.376394672652584,-0.382758763762164,-0.382118325721484,0,0.2
"12",-4.8039065540436,-0.37378256906333,-0.380335923253622,-0.379646191360237,0,0.22
"13",-4.54985205131308,-0.371510905474089,-0.377789134197738,-0.37719077152606,0,0.24
"14",-4.30698088610879,-0.368935485209119,-0.375111447097337,-0.374593238938249,0,0.26
"15",-4.07479577632921,-0.366052267456949,-0.372384472999402,-0.371846549628759,0,0.28
"16",-3.85282919794774,-0.363355705484729,-0.369526962752636,-0.368943433987545,0,0.3
"17",-3.64062000739236,-0.360405164179015,-0.366511450265359,-0.365976320126534,0,0.32
"18",-3.43774066796966,-0.357163298384986,-0.363328639419617,-0.362871976693325,0,0.34
"19",-3.24378037742363,-0.354065473000846,-0.360062596531398,-0.359578565538212,0,0.36
"20",-3.05833114855992,-0.350560922364839,-0.356616715532785,-0.356108115649648,0,0.38
"21",-2.88102469281556,-0.347059882316393,-0.352966655325998,-0.35253889036378,0,0.4
"22",-2.7114878699687,-0.343255543080684,-0.349162747403531,-0.348739705933821,0,0.42
"23",-2.54938014849766,-0.339340808434358,-0.345165415711731,-0.344720716210279,0,0.44
"24",-2.39436588810268,-0.33511554948894,-0.340916617135839,-0.34054814108614,0,0.46
"25",-2.24612852044337,-0.330788088539231,-0.336483277409693,-0.336094069402399,0,0.48
"26",-2.10435971922591,-0.326072481082004,-0.331775832210607,-0.331418438326538,0,0.5
"27",-1.96877116999364,-0.321209953746759,-0.326799237290325,-0.32646399334707,0,0.52
"28",-1.83908181743959,-0.316032865640769,-0.321538885165505,-0.32121092813721,0,0.54
"29",-1.7150270259094,-0.31049549256062,-0.31594755272226,-0.315648891699916,0,0.56
"30",-1.59634339998295,-0.304605086814229,-0.310019119674358,-0.309734514254821,0,0.58
"31",-1.48279594461372,-0.298370453454823,-0.303710080924107,-0.303435261949456,0,0.6
"32",-1.37414781616225,-0.291739702899257,-0.296973325199015,-0.296739907346873,0,0.62
"33",-1.27017075767487,-0.28464445603662,-0.28980771835969,-0.28957238756014,0,0.64
"34",-1.17064932321382,-0.277093917462793,-0.2821315899745,-0.281910753677184,0,0.66
"35",-1.07538354012491,-0.26899250576156,-0.273903846265407,-0.273713945263336,0,0.68
"36",-0.984173520076079,-0.260259799358678,-0.265074136656289,-0.264908391242717,0,0.7
"37",-0.896831603516569,-0.250903727782108,-0.255586443505675,-0.255436087119468,0,0.72
"38",-0.813179055251406,-0.240794836352532,-0.24536256687513,-0.245228830927431,0,0.74
"39",-0.733041697424011,-0.229895490344004,-0.234328617131177,-0.234208698123038,0,0.76
"40",-0.656267340445756,-0.218123190155504,-0.222397425569456,-0.222287242425605,0,0.78
"41",-0.5826987347112,-0.205357920009747,-0.209468329823776,-0.209375647235037,0,0.8
"42",-0.512193665871477,-0.191513213234614,-0.195436389845714,-0.19536072217401,0,0.82
"43",-0.444620559875173,-0.176461276265135,-0.18019145674,-0.180128881971312,0,0.84
"44",-0.379862241271171,-0.160102972454419,-0.163606016792153,-0.163554971608734,0,0.86
"45",-0.317815731552527,-0.142299716271135,-0.145550532293224,-0.14551137108257,0,0.88
